filename,label_text,label_id
26_26_again_002485-002889.mp4,again,26
34_26_again_001230-001410.mp4,again,26
10_26_again_000820-001164.mp4,again,26
101_26_again_010190-010423.mp4,again,26
101_26_again_010557-010784.mp4,again,26
26_100_apple_003987-004234.mp4,apple,100
90_100_apple_000640-000954.mp4,apple,100
34_100_apple_000488-000612.mp4,apple,100
101_81_bad_006796-007156.mp4,bad,81
34_81_bad_001883-001993.mp4,bad,81
415_81_bad_000313-000370.mp4,bad,81
26_57_bathroom_003500-003693.mp4,bathroom,57
26_57_bathroom_003290-003753.mp4,bathroom,57
132_62_beautiful_000000-000396.mp4,beautiful,62
26_62_beautiful_001821-002022.mp4,beautiful,62
10_62_beautiful_001828-002178.mp4,beautiful,62
10_62_beautiful_007437-007741.mp4,beautiful,62
34_62_beautiful_002076-002226.mp4,beautiful,62
415_62_beautiful_005789-005855.mp4,beautiful,62
10_41_black_001064-001418.mp4,black,41
34_41_black_002252-002445.mp4,black,41
26_41_black_006046-006219.mp4,black,41
10_64_blue_001441-001731.mp4,blue,64
34_64_blue_001465-001649.mp4,blue,64
26_64_blue_006359-006559.mp4,blue,64
26_38_book_001781-001978.mp4,book,38
26_38_book_002719-002869.mp4,book,38
10_38_book_001755-001972.mp4,book,38
101_38_book_040213-040413.mp4,book,38
101_38_book_040513-040680.mp4,book,38
34_38_book_000943-001136.mp4,book,38
138_38_book_000894-001077.mp4,book,38
34_38_book_008426-008523.mp4,book,38
26_42_boy_001481-001938.mp4,boy,42
138_42_boy_001144-001328.mp4,boy,42
10_42_boy_002732-002996.mp4,boy,42
34_42_boy_002253-002390.mp4,boy,42
90_34_brother_001858-002045.mp4,brother,34
90_34_brother_004894-005111.mp4,brother,34
90_34_brother_005692-005919.mp4,brother,34
10_34_brother_003019-003393.mp4,brother,34
26_34_brother_003790-004124.mp4,brother,34
34_34_brother_001543-001813.mp4,brother,34
10_74_brown_002329-002609.mp4,brown,74
10_74_brown_002632-002909.mp4,brown,74
26_74_brown_006753-006953.mp4,brown,74
34_103_bus_002683-002934.mp4,bus,103
90_103_bus_000727-001034.mp4,bus,103
10_106_class_003516-003717.mp4,class,106
26_106_class_009139-009376.mp4,class,106
101_106_class_004870-005036.mp4,class,106
101_106_class_005103-005403.mp4,class,106
101_106_class_006136-006270.mp4,class,106
34_106_class_002185-002356.mp4,class,106
138_106_class_001921-002155.mp4,class,106
138_49_computer_001104-001308.mp4,computer,49
26_49_computer_002345-002666.mp4,computer,49
26_33_cousin_002902-003119.mp4,cousin,33
26_33_cousin_005101-005278.mp4,cousin,33
26_33_cousin_006109-006319.mp4,cousin,33
34_33_cousin_004260-004480.mp4,cousin,33
34_33_cousin_004516-004743.mp4,cousin,33
101_84_dance_009056-009446.mp4,dance,84
138_84_dance_002469-002676.mp4,dance,84
10_84_dance_004130-004517.mp4,dance,84
34_84_dance_010050-010208.mp4,dance,84
